Code Postal,Ville,Latitude,Longitude
97400,Saint-Denis,-20.881089634553273, 55.449475008904365
97401,Saint-Denis,-20.881089634553273, 55.449475008904365
97402,Saint-Denis,-20.881089634553273, 55.449475008904365
97403,Saint-Denis,-20.881089634553273, 55.449475008904365
97404,Saint-Denis,-20.881089634553273, 55.449475008904365
97405,Saint-Denis,-20.881089634553273, 55.449475008904365
97406,Saint-Denis,-20.881089634553273, 55.449475008904365
97408,Saint-Denis,-20.881089634553273, 55.449475008904365
97409,Saint-Denis,-20.881089634553273, 55.449475008904365
97410,Saint-Pierre,-21.3336169178937, 55.475154995177036
97411,Saint-Paul,-20.992597583044493, 55.2690488847869
97412,Bras-Panon,-20.98446773540355, 55.677372434654814
97413,Cilaos, -21.130035162723473, 55.470647969576625
97414,Entre-Deux,-21.23794170571739, 55.46893748801983
97416,Saint-Leu, -21.15432400712498, 55.287190968403436
97417,Saint-Denis,-20.881089634553273, 55.449475008904365
97418,Le Tampon, -21.26948718339139, 55.51511978779879
97419,La Possession,-20.92100811802495, 55.333108731483755
97420,Le Port,-20.933175805921838, 55.290307886863516
97421,Saint-Louis,-21.27731908715484, 55.40767839771744
97422,Saint-Paul,-20.992597583044493, 55.2690488847869
97423,Saint-Paul,-20.992597583044493, 55.2690488847869
97424,Saint-Leu, -21.15432400712498, 55.287190968403436
97425,Les Avirons,-21.23691328442064, 55.33299054180572
97426,Les Trois-Bassins,-21.094909147131485, 55.29551532591936
97429,Petite-Île,-21.350235908826615, 55.56529766818878
97430,Le Tampon, -21.26948718339139, 55.51511978779879
97431,La Plaine-des-Palmistes,-21.13007027640564, 55.62531891897243
97432,Saint-Pierre,-21.3336169178937, 55.475154995177036
97433,Salazie,-21.022623830860173, 55.539081544179474
97434,Saint-Paul,-20.992597583044493, 55.2690488847869
